BRAVADO SPICE LLC,,,,,,,,,
General Ledger,,,,,,,,,
"January-December, 2025",,,,,,,,,

,Distribution account,Transaction date,Transaction type,Num,Name,Description,Split,Amount,Balance
,1862 Found Chase Bank,11/18/2025,Expense,,Pita Inn Meat Market and Bakery,Faire Taxes,71200 Cost of Sales (COS):Other Costs - COS,-2.36,828.15
,1862 Found Chase Bank,11/18/2025,Expense,,Pita Inn Meat Market and Bakery,Faire Processing fee,Overhead Expenses (G&A):Financial Fees:Faire Fees,-8.65,819.50
,1862 Found Chase Bank,11/18/2025,Payment,,Pita Inn Meat Market and Bakery,,12000 Accounts Receivable,238.68,"1,058.18"
,1862 Found Chase Bank,11/18/2025,Expense,,Tlaloc Bruxelles,Faire Promotions,71200 Cost of Sales (COS):Other Costs - COS,-270.68,787.50
,1862 Found Chase Bank,11/18/2025,Expense,,Tlaloc Bruxelles,Faire Processing fee,Overhead Expenses (G&A):Financial Fees:Faire Fees,-23.20,764.30
,1862 Found Chase Bank,11/18/2025,Payment,,Tlaloc Bruxelles,,12000 Accounts Receivable,769.86,"1,534.16"
,1862 Found Chase Bank,11/18/2025,Expense,,Kalustyan's,Faire Insider Brand Shipping Charge,71200 Cost of Sales (COS):Other Costs - COS,-37.50,"1,496.66"
,1862 Found Chase Bank,11/18/2025,Expense,,Kalustyan's,Faire Processing fee,Overhead Expenses (G&A):Financial Fees:Faire Fees,-12.88,"1,483.78"
,1862 Found Chase Bank,11/18/2025,Payment,,Kalustyan's,,12000 Accounts Receivable,359.40,"1,843.18"
,1862 Found Chase Bank,11/18/2025,Expense,,Jim Thorpe Olive Oil Co,Faire Commissions,71200 Cost of Sales (COS):Other Costs - COS,-50.44,"1,792.74"
,1862 Found Chase Bank,11/18/2025,Expense,,Jim Thorpe Olive Oil Co,Faire Taxes,71200 Cost of Sales (COS):Other Costs - COS,-3.33,"1,789.41"
,1862 Found Chase Bank,11/18/2025,Expense,,Jim Thorpe Olive Oil Co,Faire Processing fee,Overhead Expenses (G&A):Financial Fees:Faire Fees,-12.07,"1,777.34"
,1862 Found Chase Bank,11/18/2025,Payment,,Jim Thorpe Olive Oil Co,,12000 Accounts Receivable,336.24,"2,113.58"
,1862 Found Chase Bank,11/18/2025,Expense,,Pamplemousse,Faire Processing fee,Overhead Expenses (G&A):Financial Fees:Faire Fees,-6.50,"2,107.08"
,1862 Found Chase Bank,11/18/2025,Payment,,Pamplemousse,,12000 Accounts Receivable,177.00,"2,284.08"
,1862 Found Chase Bank,11/20/2025,Expense,,Swedish Pepper,Faire Promotions,71200 Cost of Sales (COS):Other Costs - COS,-115.44,"2,168.64"
,1862 Found Chase Bank,11/20/2025,Expense,,Swedish Pepper,Faire Commissions,71200 Cost of Sales (COS):Other Costs - COS,-61.95,"2,106.69"
,1862 Found Chase Bank,11/20/2025,Expense,,Swedish Pepper,Faire Taxes,71200 Cost of Sales (COS):Other Costs - COS,-4.09,"2,102.60"
,1862 Found Chase Bank,11/20/2025,Expense,,Swedish Pepper,Faire Processing fee,Overhead Expenses (G&A):Financial Fees:Faire Fees,-12.42,"2,090.18"
,1862 Found Chase Bank,11/20/2025,Deposit,,Swedish Pepper,variance in invoice vs qbo,71200 Cost of Sales (COS):Other Costs - COS,98.20,"2,188.38"
,1862 Found Chase Bank,11/20/2025,Payment,,Swedish Pepper,,12000 Accounts Receivable,358.94,"2,547.32"
,1862 Found Chase Bank,11/21/2025,Deposit,,,what invoice number they paid?,11200 Chase Checking 5189,"-2,200.00",347.32
,1862 Found Chase Bank,11/24/2025,Expense,,Texasfood.com,variance in invoices and qbo,71200 Cost of Sales (COS):Other Costs - COS,-16.49,330.83
,1862 Found Chase Bank,11/24/2025,Expense,,Texasfood.com,Faire Processing fee,Overhead Expenses (G&A):Financial Fees:Faire Fees,-15.34,315.49
,1862 Found Chase Bank,11/24/2025,Payment,,Texasfood.com,,12000 Accounts Receivable,446.09,761.58
,1862 Found Chase Bank,11/24/2025,Expense,,The Modern Butcher,Faire Insider Brand Shipping Charge,71200 Cost of Sales (COS):Other Costs - COS,-23.97,737.61
,1862 Found Chase Bank,11/24/2025,Expense,,The Modern Butcher,Faire Processing fee,Overhead Expenses (G&A):Financial Fees:Faire Fees,-11.30,726.31
,1862 Found Chase Bank,11/24/2025,Expense,,The Modern Butcher,variance in invoices vs QBO,71200 Cost of Sales (COS):Other Costs - COS,-3.95,722.36
,1862 Found Chase Bank,11/24/2025,Payment,,The Modern Butcher,,12000 Accounts Receivable,318.35,"1,040.71"
,1862 Found Chase Bank,11/25/2025,Expense,,Carmine's,Faire Processing fee,Overhead Expenses (G&A):Financial Fees:Faire Fees,-3.58,"1,037.13"
,1862 Found Chase Bank,11/25/2025,Payment,,Carmine's,,12000 Accounts Receivable,93.60,"1,130.73"
,1862 Found Chase Bank,11/25/2025,Expense,,Artsy Gourmet,Faire Commissions,71200 Cost of Sales (COS):Other Costs - COS,-48.65,"1,082.08"
,1862 Found Chase Bank,11/25/2025,Expense,,Artsy Gourmet,Faire Taxes,71200 Cost of Sales (COS):Other Costs - COS,-3.21,"1,078.87"
,1862 Found Chase Bank,11/25/2025,Expense,,Artsy Gourmet,Faire Processing fee,71200 Cost of Sales (COS):Other Costs - COS,-11.65,"1,067.22"
,1862 Found Chase Bank,11/25/2025,Payment,,Artsy Gourmet,,12000 Accounts Receivable,324.36,"1,391.58"
,1862 Found Chase Bank,11/26/2025,Deposit,,,ORIG CO NAME:Found ORIG ID:XXXXXX4643 DESC DATE: CO ENTRY DESCR:Transfer SEC:PPD TRACE#:XXXXXXXX2805089 EED:251126 IND ID: IND NAME:Jeremiah Tallerine TRN: 3302 XX5089TC,11200 Chase Checking 5189,"-1,000.00",391.58
,1862 Found Chase Bank,11/27/2025,Deposit,,,ORIG CO NAME:Found ORIG ID:XXXXXX4643 DESC DATE: CO ENTRY DESCR:Transfer SEC:PPD TRACE#:XXXXXXXX9794518 EED:251128 IND ID: IND NAME:Jeremiah Tallerine TRN: 3329 XX4518TC,11200 Chase Checking 5189,-390.00,1.58
,1862 Found Chase Bank,12/01/2025,Expense,,Henderson & Kane General Store,Faire Processing fee,Overhead Expenses (G&A):Financial Fees:Faire Fees,-2.50,-0.92
,1862 Found Chase Bank,12/01/2025,Payment,,Henderson & Kane General Store,,12000 Accounts Receivable,63.00,62.08
,1862 Found Chase Bank,12/02/2025,Expense,,Pepper Paradise (Melissa Gutierrez),Faire Processing fee,Overhead Expenses (G&A):Financial Fees:Faire Fees,-4.88,57.20
,1862 Found Chase Bank,12/02/2025,Payment,,Pepper Paradise (Melissa Gutierrez),,12000 Accounts Receivable,130.92,188.12
,1862 Found Chase Bank,12/03/2025,Expense,,Grill Masters Club,Faire Insider Brand Shipping Charge,71200 Cost of Sales (COS):Other Costs - COS,-12.87,175.25
,1862 Found Chase Bank,12/03/2025,Expense,,Grill Masters Club,Faire Processing fee,Overhead Expenses (G&A):Financial Fees:Faire Fees,-12.03,163.22
,1862 Found Chase Bank,12/03/2025,Payment,,Grill Masters Club,,12000 Accounts Receivable,335.04,498.26
,1862 Found Chase Bank,12/03/2025,Expense,,Ace of Gray Gift Shop,Faire Promotions,71200 Cost of Sales (COS):Other Costs - COS,-45.00,453.26
,1862 Found Chase Bank,12/03/2025,Expense,,Ace of Gray Gift Shop,Faire Insider Brand Shipping Charge,71200 Cost of Sales (COS):Other Costs - COS,-18.85,434.41
,1862 Found Chase Bank,12/03/2025,Expense,,Ace of Gray Gift Shop,Faire Processing fee,Overhead Expenses (G&A):Financial Fees:Faire Fees,-10.46,423.95
,1862 Found Chase Bank,12/03/2025,Payment,,Ace of Gray Gift Shop,,12000 Accounts Receivable,335.34,759.29
,1862 Found Chase Bank,12/03/2025,Expense,,Sonoran Spice,Faire Commissions,71200 Cost of Sales (COS):Other Costs - COS,-41.35,717.94
,1862 Found Chase Bank,12/03/2025,Expense,,Sonoran Spice,Faire Taxes,71200 Cost of Sales (COS):Other Costs - COS,-2.73,715.21
,1862 Found Chase Bank,12/03/2025,Expense,,Sonoran Spice,Faire Processing fee,Overhead Expenses (G&A):Financial Fees:Faire Fees,-9.95,705.26
,1862 Found Chase Bank,12/03/2025,Payment,,Sonoran Spice,,12000 Accounts Receivable,275.64,980.90
,1862 Found Chase Bank,12/03/2025,Expense,,3 Sisters Garlic,Faire Insider Brand Shipping Charge,71200 Cost of Sales (COS):Other Costs - COS,-28.88,952.02
,1862 Found Chase Bank,12/03/2025,Expense,,3 Sisters Garlic,Faire Processing fee,Overhead Expenses (G&A):Financial Fees:Faire Fees,-11.08,940.94
,1862 Found Chase Bank,12/03/2025,Expense,,3 Sisters Garlic,invoices vs qbo variances,71200 Cost of Sales (COS):Other Costs - COS,-8.25,932.69
,1862 Found Chase Bank,12/03/2025,Payment,,3 Sisters Garlic,,12000 Accounts Receivable,316.17,"1,248.86"
,1862 Found Chase Bank,12/04/2025,Expense,,Dino's Pizza,Faire Promotions,71200 Cost of Sales (COS):Other Costs - COS,-72.38,"1,176.48"
,1862 Found Chase Bank,12/04/2025,Expense,,Dino's Pizza,Faire Commissions,71200 Cost of Sales (COS):Other Costs - COS,-29.79,"1,146.69"
,1862 Found Chase Bank,12/04/2025,Expense,,Dino's Pizza,Faire Taxes,71200 Cost of Sales (COS):Other Costs - COS,-1.97,"1,144.72"
,1862 Found Chase Bank,12/04/2025,Expense,,Dino's Pizza,Faire Processing fee,Overhead Expenses (G&A):Financial Fees:Faire Fees,-4.92,"1,139.80"
,1862 Found Chase Bank,12/04/2025,Payment,,Dino's Pizza,,12000 Accounts Receivable,176.94,"1,316.74"
,1862 Found Chase Bank,12/04/2025,Expense,,What's Smoken',Faire Commissions,71200 Cost of Sales (COS):Other Costs - COS,-15.52,"1,301.22"
,1862 Found Chase Bank,12/04/2025,Expense,,What's Smoken',Faire Taxes,71200 Cost of Sales (COS):Other Costs - COS,-1.02,"1,300.20"
,1862 Found Chase Bank,12/04/2025,Expense,,What's Smoken',Faire Processing fee,Overhead Expenses (G&A):Financial Fees:Faire Fees,-3.92,"1,296.28"
,1862 Found Chase Bank,12/04/2025,Payment,,What's Smoken',,12000 Accounts Receivable,103.50,"1,399.78"
,1862 Found Chase Bank,12/04/2025,Expense,,Una,Faire Insider Brand Shipping Charge,71200 Cost of Sales (COS):Other Costs - COS,-51.03,"1,348.75"
,1862 Found Chase Bank,12/04/2025,Expense,,Una,Faire Processing fee,Overhead Expenses (G&A):Financial Fees:Faire Fees,-18.91,"1,329.84"
,1862 Found Chase Bank,12/04/2025,Payment,,Una,,12000 Accounts Receivable,531.78,"1,861.62"
,1862 Found Chase Bank,12/04/2025,Expense,,Faire,,71200 Cost of Sales (COS):Other Costs - COS,-221.44,"1,640.18"
,1862 Found Chase Bank,12/05/2025,Deposit,,Found,ORIG CO NAME:Found ORIG ID:XXXXXX4643 DESC DATE: CO ENTRY DESCR:Transfer SEC:PPD TRACE#:XXXXXXXX0922005 EED:251205 IND ID: IND NAME:Jeremiah Tallerine TRN: 3390 XX2005TC,11200 Chase Checking 5189,"-1,000.00",640.18
,1862 Found Chase Bank,12/05/2025,Expense,,Oakville Grocery,Faire Insider Brand Shipping Charge,71200 Cost of Sales (COS):Other Costs - COS,-44.10,596.08
,1862 Found Chase Bank,12/05/2025,Expense,,Oakville Grocery,Faire Processing fee,Overhead Expenses (G&A):Financial Fees:Faire Fees,-12.80,583.28
,1862 Found Chase Bank,12/05/2025,Expense,,Oakville Grocery,invoices vs qbo variance,71200 Cost of Sales (COS):Other Costs - COS,-9.89,573.39
,1862 Found Chase Bank,12/05/2025,Payment,,Oakville Grocery,,12000 Accounts Receivable,367.01,940.40
,1862 Found Chase Bank,12/07/2025,Expense,,Carne Diem Fine Meats & Pantry,Faire Processing fee,Overhead Expenses (G&A):Financial Fees:Faire Fees,-13.59,926.81
,1862 Found Chase Bank,12/07/2025,Expense,,Carne Diem Fine Meats & Pantry,Faire Insider Brand Shipping Charge,71200 Cost of Sales (COS):Other Costs - COS,-33.39,893.42
,1862 Found Chase Bank,12/07/2025,Expense,,Carne Diem Fine Meats & Pantry,invoices vs qbo variances,71200 Cost of Sales (COS):Other Costs - COS,-16.49,876.93
,1862 Found Chase Bank,12/07/2025,Payment,,Carne Diem Fine Meats & Pantry,,12000 Accounts Receivable,396.29,"1,273.22"
,1862 Found Chase Bank,12/07/2025,Expense,,Chile Mojo,Faire Commissions,71200 Cost of Sales (COS):Other Costs - COS,-68.09,"1,205.13"
,1862 Found Chase Bank,12/07/2025,Expense,,Chile Mojo,Faire Taxes,71200 Cost of Sales (COS):Other Costs - COS,-4.49,"1,200.64"
,1862 Found Chase Bank,12/07/2025,Expense,,Chile Mojo,Faire Processing fee,Overhead Expenses (G&A):Financial Fees:Faire Fees,-16.19,"1,184.45"
,1862 Found Chase Bank,12/07/2025,Payment,,Chile Mojo,,12000 Accounts Receivable,453.96,"1,638.41"
,1862 Found Chase Bank,12/08/2025,Expense,,Common Crow Natural Market,Faire Processing fee,Overhead Expenses (G&A):Financial Fees:Faire Fees,-9.26,"1,629.15"
,1862 Found Chase Bank,12/08/2025,Payment,,Common Crow Natural Market,,12000 Accounts Receivable,255.90,"1,885.05"
,1862 Found Chase Bank,12/09/2025,Deposit,,Found,ORIG CO NAME:Found ORIG ID:XXXXXX4643 DESC DATE: CO ENTRY DESCR:Transfer SEC:PPD TRACE#:XXXXXXXX8405099 EED:251209 IND ID: IND NAME:Jeremiah Tallerine TRN: 3438 XX5099TC,11200 Chase Checking 5189,"-1,608.41",276.64
,1862 Found Chase Bank,12/09/2025,Expense,,Pepper Paradise (Melissa Gutierrez),Faire Processing fee,Overhead Expenses (G&A):Financial Fees:Faire Fees,-4.71,271.93
,1862 Found Chase Bank,12/09/2025,Payment,,Pepper Paradise (Melissa Gutierrez),,12000 Accounts Receivable,126.00,397.93
,1862 Found Chase Bank,12/09/2025,Payment,,Pepper Paradise (Melissa Gutierrez),Voided,12000 Accounts Receivable,0.00,397.93
,1862 Found Chase Bank,12/09/2025,Payment,,Pepper Paradise (Melissa Gutierrez),,12000 Accounts Receivable,74.04,471.97
,1862 Found Chase Bank,12/11/2025,Payment,,Buc-ee's Ltd:Buc-ees 22 New Braunfels TX,,12000 Accounts Receivable,119.88,591.85
,1862 Found Chase Bank,12/11/2025,Payment,,Buc-ee's Ltd:Buc-ees 26 Madisonville TX,,12000 Accounts Receivable,79.92,671.77
,1862 Found Chase Bank,12/11/2025,Payment,,Buc-ee's Ltd:Buc-ees 28 Bastrop TX,,12000 Accounts Receivable,79.92,751.69
,1862 Found Chase Bank,12/11/2025,Payment,,Buc-ee's Ltd:Buc-ees 30 Wharton TX,,12000 Accounts Receivable,135.52,887.21
,1862 Found Chase Bank,12/11/2025,Payment,,Buc-ee's Ltd:Buc-ees 33 Texas City TX,,12000 Accounts Receivable,79.92,967.13
,1862 Found Chase Bank,12/11/2025,Payment,,Buc-ee's Ltd:Buc-ees 34 Baytown TX,,12000 Accounts Receivable,147.68,"1,114.81"
,1862 Found Chase Bank,12/11/2025,Payment,,Buc-ee's Ltd:Buc-ees 35 Temple TX,,12000 Accounts Receivable,107.72,"1,222.53"
,1862 Found Chase Bank,12/11/2025,Payment,,Buc-ee's Ltd:Buc-ees 36 Terrell TX,,12000 Accounts Receivable,147.68,"1,370.21"
,1862 Found Chase Bank,12/11/2025,Payment,,Buc-ee's Ltd:Buc-ees 37 Fort Worth TX,,12000 Accounts Receivable,159.84,"1,530.05"
,1862 Found Chase Bank,12/11/2025,Payment,,Buc-ee's Ltd:Buc-ees 43 Leeds AL,,12000 Accounts Receivable,79.92,"1,609.97"
,1862 Found Chase Bank,12/11/2025,Payment,,Buc-ee's Ltd:Buc-ees 44 Melissa TX,,12000 Accounts Receivable,79.92,"1,689.89"
,1862 Found Chase Bank,12/11/2025,Payment,,Buc-ee's Ltd:Buc-ees 45 Sevierville TN,,12000 Accounts Receivable,107.72,"1,797.61"
,1862 Found Chase Bank,12/11/2025,Payment,,Buc-ee's Ltd:Buc-ees 45 Sevierville TN,,12000 Accounts Receivable,161.58,"1,959.19"
,1862 Found Chase Bank,12/11/2025,Payment,,Buc-ee's Ltd:Buc-ees 46 St Johns FL,,12000 Accounts Receivable,93.82,"2,053.01"
,1862 Found Chase Bank,12/11/2025,Payment,,Buc-ee's Ltd:Buc-ees 47 Daytona FL,,12000 Accounts Receivable,167.66,"2,220.67"
,1862 Found Chase Bank,12/11/2025,Payment,,Buc-ee's Ltd:Buc-ees 47 Daytona FL,,12000 Accounts Receivable,221.52,"2,442.19"
,1862 Found Chase Bank,12/11/2025,Payment,,Buc-ee's Ltd:Buc-ees 48 Ennis TX,,12000 Accounts Receivable,93.82,"2,536.01"
,1862 Found Chase Bank,12/11/2025,Payment,,Buc-ee's Ltd:Buc-ees 48 Ennis TX,,12000 Accounts Receivable,93.82,"2,629.83"
,1862 Found Chase Bank,12/11/2025,Payment,,Buc-ee's Ltd:Buc-ees 50 Crossville TN,,12000 Accounts Receivable,135.52,"2,765.35"
,1862 Found Chase Bank,12/11/2025,Payment,,Buc-ee's Ltd:Buc-ees 51 Warner Robins GA,,12000 Accounts Receivable,361.38,"3,126.73"
,1862 Found Chase Bank,12/11/2025,Payment,,Buc-ee's Ltd:Buc-ees 51 Warner Robins GA,,12000 Accounts Receivable,249.32,"3,376.05"
,1862 Found Chase Bank,12/11/2025,Payment,,Buc-ee's Ltd:Buc-ees 52 Calhoun GA,,12000 Accounts Receivable,175.48,"3,551.53"
,1862 Found Chase Bank,12/11/2025,Payment,,Buc-ee's Ltd:Buc-ees 53 Florence SC,,12000 Accounts Receivable,277.12,"3,828.65"
,1862 Found Chase Bank,12/11/2025,Payment,,Buc-ee's Ltd:Buc-ees 53 Florence SC,,12000 Accounts Receivable,93.82,"3,922.47"
,1862 Found Chase Bank,12/11/2025,Payment,,Buc-ee's Ltd:Buc-ees 55 Richmond KY,,12000 Accounts Receivable,79.92,"4,002.39"
,1862 Found Chase Bank,12/11/2025,Payment,,Buc-ee's Ltd:Buc-ees 55 Richmond KY,,12000 Accounts Receivable,79.92,"4,082.31"
,1862 Found Chase Bank,12/11/2025,Payment,,Buc-ee's Ltd:Buc-ees 56 Smiths Grove KY,,12000 Accounts Receivable,93.82,"4,176.13"
,1862 Found Chase Bank,12/11/2025,Payment,,Buc-ee's Ltd:Buc-ees 58 Auburn AL,,12000 Accounts Receivable,121.62,"4,297.75"
,1862 Found Chase Bank,12/11/2025,Payment,,Buc-ee's Ltd:Buc-ees 59 Hillsboro TX,,12000 Accounts Receivable,107.72,"4,405.47"
,1862 Found Chase Bank,12/11/2025,Payment,,Buc-ee's Ltd:Buc-ees 59 Hillsboro TX,,12000 Accounts Receivable,79.92,"4,485.39"
,1862 Found Chase Bank,12/11/2025,Payment,,Buc-ee's Ltd:Buc-ees 60 Johnstown,,12000 Accounts Receivable,450.86,"4,936.25"
,1862 Found Chase Bank,12/11/2025,Payment,,Buc-ee's Ltd:Buc-ees 60 Johnstown,,12000 Accounts Receivable,135.52,"5,071.77"
,1862 Found Chase Bank,12/11/2025,Payment,,Buc-ee's Ltd:Buc-ees 63 Brunswick GA,,12000 Accounts Receivable,93.82,"5,165.59"
,1862 Found Chase Bank,12/11/2025,Payment,,Buc-ee's Ltd:Buc-ees 69 Rockingham VA,,12000 Accounts Receivable,121.62,"5,287.21"
,1862 Found Chase Bank,12/11/2025,Payment,,Buc-ee's Ltd:Buc-ees 69 Rockingham VA,,12000 Accounts Receivable,99.90,"5,387.11"
,1862 Found Chase Bank,12/11/2025,Expense,,Garlic World,Promotion,71200 Cost of Sales (COS):Other Costs - COS,-70.44,"5,316.67"
,1862 Found Chase Bank,12/11/2025,Expense,,Garlic World,Commission,71200 Cost of Sales (COS):Other Costs - COS,-37.59,"5,279.08"
,1862 Found Chase Bank,12/11/2025,Expense,,Garlic World,Taxes,71200 Cost of Sales (COS):Other Costs - COS,-2.48,"5,276.60"
,1862 Found Chase Bank,12/11/2025,Expense,,Garlic World,Fees,Overhead Expenses (G&A):Financial Fees:Faire Fees,-3.50,"5,273.10"
,1862 Found Chase Bank,12/11/2025,Expense,,Garlic World,variance,71200 Cost of Sales (COS):Other Costs - COS,-3.24,"5,269.86"
,1862 Found Chase Bank,12/11/2025,Payment,,Garlic World,,12000 Accounts Receivable,228.96,"5,498.82"
,1862 Found Chase Bank,12/11/2025,Expense,,The Butchery Quality Meats,Faire Processing fee,Overhead Expenses (G&A):Financial Fees:Faire Fees,-3.50,"5,495.32"
,1862 Found Chase Bank,12/11/2025,Expense,,The Butchery Quality Meats,Faire Insider Brand Shipping Charge,71200 Cost of Sales (COS):Other Costs - COS,-27.54,"5,467.78"
,1862 Found Chase Bank,12/11/2025,Expense,,The Butchery Quality Meats,variance,71200 Cost of Sales (COS):Other Costs - COS,-8.35,"5,459.43"
,1862 Found Chase Bank,12/11/2025,Payment,,The Butchery Quality Meats,,12000 Accounts Receivable,329.88,"5,789.31"
,1862 Found Chase Bank,12/12/2025,Journal Entry,Gusto,,Debit net pay,,"-4,214.29","1,575.02"
,1862 Found Chase Bank,12/12/2025,Journal Entry,Gusto,,Debit reimbursement,,-131.52,"1,443.50"
,1862 Found Chase Bank,12/12/2025,Journal Entry,Gusto,,Debit tax,,"-1,090.42",353.08
,1862 Found Chase Bank,12/12/2025,Expense,,Gusto,,73410 Overhead Expenses (G&A):Financial Fees:Bank Fees,-15.00,338.08
,1862 Found Chase Bank,12/14/2025,Expense,,Pirate O's Gourmet Market,Faire  Processing fees,Overhead Expenses (G&A):Financial Fees:Faire Fees,-3.50,334.58
,1862 Found Chase Bank,12/14/2025,Expense,,Pirate O's Gourmet Market,variance,71200 Cost of Sales (COS):Other Costs - COS,-19.28,315.30
,1862 Found Chase Bank,12/14/2025,Payment,,Pirate O's Gourmet Market,,12000 Accounts Receivable,414.93,730.23
,1862 Found Chase Bank,12/15/2025,Expense,,Sonoran Spice,Faire Commissions,71200 Cost of Sales (COS):Other Costs - COS,-46.94,683.29
,1862 Found Chase Bank,12/15/2025,Expense,,Sonoran Spice,Faire Taxes,71200 Cost of Sales (COS):Other Costs - COS,-3.10,680.19
,1862 Found Chase Bank,12/15/2025,Expense,,Sonoran Spice,Faire Processing fee,Overhead Expenses (G&A):Financial Fees:Faire Fees,-3.50,676.69
,1862 Found Chase Bank,12/15/2025,Expense,,Sonoran Spice,variance,71200 Cost of Sales (COS):Other Costs - COS,-7.75,668.94
,1862 Found Chase Bank,12/15/2025,Payment,,Sonoran Spice,,12000 Accounts Receivable,312.96,981.90
,1862 Found Chase Bank,12/16/2025,Expense,,Henderson & Kane General Store,Fees,Overhead Expenses (G&A):Financial Fees:Faire Fees,-3.50,978.40
,1862 Found Chase Bank,12/16/2025,Expense,,Henderson & Kane General Store,variance,71200 Cost of Sales (COS):Other Costs - COS,-6.00,972.40
,1862 Found Chase Bank,12/16/2025,Payment,,Henderson & Kane General Store,,12000 Accounts Receivable,144.28,"1,116.68"
,1862 Found Chase Bank,12/16/2025,Expense,,EVILO OILS & VINEGARS,Fees,Overhead Expenses (G&A):Financial Fees:Faire Fees,-3.50,"1,113.18"
,1862 Found Chase Bank,12/16/2025,Expense,,EVILO OILS & VINEGARS,Insider Brand Shipping Charge,71200 Cost of Sales (COS):Other Costs - COS,-18.20,"1,094.98"
,1862 Found Chase Bank,12/16/2025,Expense,,EVILO OILS & VINEGARS,variance,71200 Cost of Sales (COS):Other Costs - COS,-3.33,"1,091.65"
,1862 Found Chase Bank,12/16/2025,Payment,,EVILO OILS & VINEGARS,,12000 Accounts Receivable,186.60,"1,278.25"
,1862 Found Chase Bank,12/17/2025,Expense,,PIMO POWA,Faire Commissions,71200 Cost of Sales (COS):Other Costs - COS,-57.29,"1,220.96"
,1862 Found Chase Bank,12/17/2025,Expense,,PIMO POWA,Faire Taxes,71200 Cost of Sales (COS):Other Costs - COS,-3.78,"1,217.18"
,1862 Found Chase Bank,12/17/2025,Expense,,PIMO POWA,Faire Processing fee,Overhead Expenses (G&A):Financial Fees:Faire Fees,-3.50,"1,213.68"
,1862 Found Chase Bank,12/17/2025,Expense,,PIMO POWA,variance,71200 Cost of Sales (COS):Other Costs - COS,-14.12,"1,199.56"
,1862 Found Chase Bank,12/17/2025,Payment,,PIMO POWA,,12000 Accounts Receivable,385.91,"1,585.47"
,1862 Found Chase Bank,12/19/2025,Transfer,,,,11200 Chase Checking 5189,"-1,550.00",35.47
,1862 Found Chase Bank,12/22/2025,Payment,,Manready Mercantile,,12000 Accounts Receivable,526.94,562.41
,1862 Found Chase Bank,12/23/2025,Expense,,Buc-ee's,Discount,Cost of Sales (COS):On-Invoice Discounts,-81.80,480.61
,1862 Found Chase Bank,12/23/2025,Payment,,Buc-ee's Ltd:Buc-ees 17 Luling TX,,12000 Accounts Receivable,93.82,574.43
,1862 Found Chase Bank,12/23/2025,Payment,,Buc-ee's Ltd:Buc-ees 26 Madisonville TX,,12000 Accounts Receivable,107.72,682.15
,1862 Found Chase Bank,12/23/2025,Payment,,Buc-ee's Ltd:Buc-ees 30 Wharton TX,,12000 Accounts Receivable,107.72,789.87
,1862 Found Chase Bank,12/23/2025,Payment,,Buc-ee's Ltd:Buc-ees 34 Baytown TX,,12000 Accounts Receivable,99.90,889.77
,1862 Found Chase Bank,12/23/2025,Payment,,Buc-ee's Ltd:Buc-ees 35 Temple TX,,12000 Accounts Receivable,139.86,"1,029.63"
,1862 Found Chase Bank,12/23/2025,Payment,,Buc-ee's Ltd:Buc-ees 36 Terrell TX,,12000 Accounts Receivable,343.14,"1,372.77"
,1862 Found Chase Bank,12/23/2025,Payment,,Buc-ee's Ltd:Buc-ees 38 Royse City TX,,12000 Accounts Receivable,349.22,"1,721.99"
